utility_bill_payment,service_deposit_required,debt_collection_history,savings_account,employment_tenure,additional_income,housing_status,eviction_history,community_savings_group,mobile_money_account,credit_score
Always on time,No,"Yes, once","Yes, sufficient",1 to 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",760
Frequently late,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, actively used",642
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, regularly",Rent,No,No,"Yes, actively used",728
Never paid,No,No,"Yes, sufficient",1 to 3 years,"Yes, regularly",Own,No,"Yes, inactive member",No,668
Never paid,"Yes, but refunded","Yes, once",No,6 months to 1 year,No,Rent,No,"Yes, active member",No,473
Frequently late,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, rarely used",695
Always on time,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,No,"Yes, inactive member","Yes, actively used",725
Always on time,No,No,No,Less than 6 months,No,Rent,No,No,"Yes, rarely used",687
Frequently late,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, active member","Yes, actively used",630
Always on time,No,No,"Yes, sufficient",6 months to 1 year,No,Rent,No,"Yes, active member","Yes, rarely used",746
Always on time,No,"Yes, once","Yes, sufficient",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, rarely used",674
Always on time,No,No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",773
Frequently late,No,No,No,6 months to 1 year,No,Rent,No,"Yes, active member","Yes, rarely used",644
Occasionally late,"Yes, not refunded",No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, actively used",628
Always on time,No,No,"Yes, sufficient",Over 3 years,"Yes, regularly",Own,No,"Yes, inactive member","Yes, rarely used",848
Always on time,No,No,No,Less than 6 months,"Yes, regularly",Rent,No,"Yes, active member",No,715
Occasionally late,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, actively used",709
Never paid,"Yes, but refunded","Yes, once","Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, rarely used",564
Always on time,No,"Yes, once","Yes, but limited",Over 3 years,"Yes, occasionally",Rent,No,No,"Yes, rarely used",689
Always on time,"Yes, not refunded",No,"Yes, but limited",6 months to 1 year,No,Rent,"Yes, once","Yes, active member","Yes, actively used",662
Frequently late,No,No,"Yes, but limited",6 months to 1 year,No,Live with family/friends,No,No,"Yes, actively used",620
Occasionally late,No,No,"Yes, but limited",1 to 3 years,No,Own,No,No,"Yes, rarely used",715
Occasionally late,No,"Yes, once",No,6 months to 1 year,No,Own,No,No,"Yes, rarely used",605
Occasionally late,No,"Yes, once","Yes, sufficient",Over 3 years,No,Own,No,No,"Yes, actively used",694
Always on time,No,No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",792
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Own,"Yes, once",No,No,734
Occasionally late,No,No,"Yes, sufficient",1 to 3 years,No,Own,No,No,"Yes, rarely used",751
Occasionally late,"Yes, but refunded",No,No,Less than 6 months,No,Own,No,"Yes, active member","Yes, rarely used",622
Frequently late,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, active member","Yes, actively used",665
Frequently late,"Yes, not refunded",No,"Yes, sufficient",6 months to 1 year,No,Own,No,No,"Yes, rarely used",625
Always on time,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,No,Rent,No,"Yes, active member","Yes, rarely used",732
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Own,No,"Yes, active member","Yes, rarely used",838
Occasionally late,No,"Yes, once","Yes, sufficient",6 months to 1 year,No,Live with family/friends,"Yes, once","Yes, active member","Yes, actively used",596
Occasionally late,No,No,"Yes, but limited",Less than 6 months,No,Rent,"Yes, more than once","Yes, active member","Yes, rarely used",610
Occasionally late,"Yes, but refunded","Yes, once",No,1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",624
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, actively used",697
Frequently late,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Own,No,No,No,658
Always on time,"Yes, not refunded",No,No,Over 3 years,"Yes, occasionally",Own,No,"Yes, active member",No,719
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Rent,No,"Yes, inactive member","Yes, actively used",799
Always on time,No,No,"Yes, but limited",Over 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, rarely used",802
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Own,No,No,"Yes, actively used",742
Always on time,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,No,Rent,No,No,"Yes, rarely used",662
Always on time,"Yes, but refunded","Yes, once","Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, rarely used",699
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Own,No,No,"Yes, rarely used",732
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, actively used",696
Always on time,"Yes, but refunded","Yes, once","Yes, but limited",1 to 3 years,"Yes, occasionally",Own,"Yes, once",No,"Yes, rarely used",651
Always on time,"Yes, but refunded","Yes, once","Yes, but limited",1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",681
Always on time,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",760
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,No,Own,No,"Yes, inactive member","Yes, actively used",719
Always on time,"Yes, not refunded",No,"Yes, sufficient",1 to 3 years,No,Live with family/friends,No,No,"Yes, actively used",684
Always on time,No,No,"Yes, sufficient",1 to 3 years,No,Rent,No,No,"Yes, rarely used",760
Always on time,No,No,No,Less than 6 months,No,Rent,No,No,No,671
Occasionally late,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Own,No,No,"Yes, actively used",693
Always on time,No,"Yes, once",No,1 to 3 years,No,Rent,No,No,"Yes, actively used",656
Occasionally late,"Yes, but refunded",No,No,Less than 6 months,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",628
Always on time,No,No,No,6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, actively used",758
Always on time,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, actively used",702
Always on time,No,No,"Yes, but limited",Over 3 years,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, rarely used",800
Always on time,No,No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",762
Occasionally late,No,No,No,6 months to 1 year,No,Rent,"Yes, once",No,"Yes, actively used",619
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, actively used",691
Never paid,"Yes, but refunded","Yes, once","Yes, sufficient",Over 3 years,"Yes, regularly",Live with family/friends,No,"Yes, inactive member","Yes, rarely used",585
Always on time,No,No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Live with family/friends,No,"Yes, inactive member","Yes, actively used",800
Always on time,No,No,No,6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",723
Occasionally late,No,"Yes, once","Yes, sufficient",Over 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",717
Always on time,"Yes, but refunded","Yes, more than once","Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",647
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Own,"Yes, once","Yes, inactive member","Yes, actively used",744
Always on time,No,"Yes, once",No,Less than 6 months,"Yes, regularly",Own,No,No,"Yes, rarely used",647
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, regularly",Own,No,No,"Yes, actively used",760
Never paid,"Yes, not refunded",No,No,1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",544
Occasionally late,No,No,No,Less than 6 months,"Yes, regularly",Own,No,"Yes, inactive member","Yes, actively used",692
Occasionally late,No,No,No,Over 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",694
Always on time,"Yes, but refunded",No,"Yes, but limited",Over 3 years,No,Rent,No,"Yes, active member","Yes, actively used",754
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,"Yes, active member",No,756
Always on time,No,"Yes, once","Yes, sufficient",Less than 6 months,"Yes, occasionally",Live with family/friends,No,No,"Yes, actively used",684
Always on time,"Yes, not refunded",No,"Yes, sufficient",6 months to 1 year,"Yes, regularly",Rent,No,"Yes, active member","Yes, actively used",724
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Rent,No,No,"Yes, actively used",728
Occasionally late,No,No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",773
Occasionally late,No,"Yes, more than once","Yes, but limited",1 to 3 years,No,Live with family/friends,No,No,"Yes, actively used",594
Always on time,"Yes, but refunded","Yes, once","Yes, sufficient",Less than 6 months,"Yes, occasionally",Live with family/friends,No,No,"Yes, actively used",633
Never paid,No,No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Own,"Yes, more than once","Yes, inactive member","Yes, rarely used",590
Occasionally late,No,"Yes, once",No,Less than 6 months,"Yes, regularly",Own,"Yes, once",No,"Yes, rarely used",583
Always on time,No,"Yes, once","Yes, but limited",Less than 6 months,No,Own,"Yes, once",No,"Yes, actively used",648
Occasionally late,"Yes, but refunded","Yes, once","Yes, but limited",Less than 6 months,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",589
Always on time,No,No,"Yes, but limited",Over 3 years,No,Rent,No,"Yes, inactive member","Yes, actively used",792
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,No,"Yes, actively used",757
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Rent,"Yes, once","Yes, active member","Yes, actively used",692
Occasionally late,No,"Yes, more than once","Yes, but limited",Less than 6 months,"Yes, regularly",Own,No,"Yes, inactive member","Yes, actively used",635
Always on time,"Yes, but refunded","Yes, more than once","Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, actively used",609
Always on time,No,"Yes, once","Yes, sufficient",1 to 3 years,No,Own,No,No,"Yes, actively used",721
Always on time,"Yes, but refunded",No,"Yes, sufficient",6 months to 1 year,No,Rent,No,No,"Yes, rarely used",725
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, rarely used",779
Frequently late,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,No,Rent,No,No,"Yes, actively used",580
Occasionally late,No,No,No,Over 3 years,No,Own,No,"Yes, inactive member","Yes, rarely used",720
Always on time,No,No,No,6 months to 1 year,No,Rent,No,No,"Yes, actively used",694
Always on time,"Yes, not refunded",No,"Yes, but limited",Over 3 years,"Yes, occasionally",Live with family/friends,No,No,"Yes, actively used",701
Always on time,"Yes, not refunded","Yes, more than once","Yes, but limited",6 months to 1 year,"Yes, regularly",Own,No,"Yes, inactive member","Yes, actively used",620
Always on time,No,No,No,Over 3 years,"Yes, occasionally",Own,No,No,"Yes, rarely used",791
Always on time,No,"Yes, once",No,1 to 3 years,"Yes, regularly",Own,No,"Yes, inactive member","Yes, actively used",722
Always on time,No,No,"Yes, sufficient",Over 3 years,"Yes, regularly",Own,No,No,"Yes, actively used",823
Always on time,"Yes, but refunded",No,"Yes, sufficient",Less than 6 months,No,Rent,No,No,"Yes, actively used",672
Occasionally late,No,No,"Yes, sufficient",Less than 6 months,"Yes, regularly",Own,No,"Yes, active member","Yes, rarely used",735
Occasionally late,No,"Yes, more than once","Yes, but limited",6 months to 1 year,No,Own,"Yes, once",No,"Yes, actively used",601
Always on time,No,"Yes, once","Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,"Yes, once",No,No,657
Always on time,"Yes, not refunded",No,"Yes, but limited",Over 3 years,"Yes, occasionally",Rent,"Yes, once","Yes, active member","Yes, actively used",685
Occasionally late,No,No,No,6 months to 1 year,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",732
Always on time,No,No,No,Over 3 years,"Yes, occasionally",Live with family/friends,No,No,"Yes, actively used",766
Frequently late,No,No,"Yes, but limited",1 to 3 years,No,Own,No,No,"Yes, actively used",671
Occasionally late,No,No,"Yes, sufficient",Over 3 years,"Yes, regularly",Own,"Yes, once","Yes, inactive member","Yes, actively used",791
Always on time,No,No,No,6 months to 1 year,No,Rent,No,No,"Yes, rarely used",698
Always on time,"Yes, not refunded",No,"Yes, but limited",Less than 6 months,"Yes, regularly",Own,No,No,"Yes, actively used",705
Occasionally late,"Yes, but refunded",No,No,Less than 6 months,"Yes, regularly",Rent,No,"Yes, inactive member","Yes, actively used",609
Always on time,No,"Yes, once","Yes, sufficient",1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, rarely used",720
Always on time,"Yes, but refunded",No,No,Over 3 years,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",753
Frequently late,No,"Yes, once","Yes, but limited",Less than 6 months,"Yes, regularly",Own,"Yes, once",No,"Yes, rarely used",568
Always on time,No,No,"Yes, sufficient",1 to 3 years,No,Own,No,No,"Yes, actively used",799
Always on time,"Yes, not refunded",No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",701
Occasionally late,No,No,No,Over 3 years,No,Own,"Yes, more than once","Yes, inactive member","Yes, actively used",639
Always on time,No,No,"Yes, but limited",Over 3 years,No,Live with family/friends,No,"Yes, active member","Yes, actively used",774
Always on time,"Yes, not refunded","Yes, more than once","Yes, sufficient",6 months to 1 year,No,Own,No,"Yes, inactive member","Yes, actively used",618
Frequently late,No,"Yes, more than once","Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, rarely used",622
Always on time,"Yes, but refunded","Yes, once",No,1 to 3 years,No,Own,No,No,"Yes, rarely used",621
Never paid,"Yes, not refunded",No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",586
Frequently late,No,"Yes, once","Yes, sufficient",Less than 6 months,No,Rent,"Yes, once",No,"Yes, rarely used",543
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Own,No,"Yes, active member","Yes, actively used",845
Always on time,No,No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Live with family/friends,No,"Yes, inactive member","Yes, actively used",767
Always on time,No,No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Live with family/friends,No,"Yes, active member","Yes, actively used",777
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, regularly",Rent,No,No,"Yes, actively used",733
Always on time,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, actively used",756
Occasionally late,No,No,No,Over 3 years,No,Own,No,No,"Yes, actively used",679
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, regularly",Own,"Yes, more than once",No,"Yes, actively used",697
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Rent,No,No,"Yes, actively used",776
Occasionally late,No,No,No,6 months to 1 year,"Yes, regularly",Own,No,No,"Yes, rarely used",693
Always on time,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,No,Own,No,"Yes, active member","Yes, actively used",759
Occasionally late,No,No,No,Less than 6 months,"Yes, occasionally",Own,No,No,"Yes, rarely used",683
Always on time,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,No,Own,No,No,No,724
Always on time,No,"Yes, once","Yes, sufficient",Less than 6 months,No,Rent,No,"Yes, active member","Yes, rarely used",678
Occasionally late,No,No,"Yes, but limited",Over 3 years,"Yes, regularly",Own,No,No,"Yes, rarely used",768
Occasionally late,No,No,"Yes, sufficient",6 months to 1 year,No,Own,No,No,"Yes, rarely used",691
Frequently late,No,"Yes, once",No,1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, rarely used",591
Occasionally late,No,No,No,1 to 3 years,No,Rent,No,"Yes, inactive member","Yes, actively used",676
